food_id,nutrient_id,nutrient_value
5585,827,0
5585,831,1.096
5585,832,0
5585,834,24
5585,835,0
5585,836,0
5585,837,507
5585,854,0
5585,861,0
5585,862,18.1
5586,203,0.6
5586,204,0.1
5586,205,4.59
5586,207,1.21
5586,208,22
5586,221,0
5586,255,93.5
5586,262,0
5586,263,0
5586,268,91
5586,269,3.8
5586,291,0.8
5586,301,11
5586,303,0.42
5586,304,11
5586,305,17
5586,306,193
5586,307,70
5586,309,0.2
5586,312,0.2
5586,317,0.5
5586,319,0
5586,321,830
5586,323,0.32
5586,324,0
5586,339,0
5586,401,27.7
5586,404,0.04
5586,405,0.03
5586,406,0.73
5586,409,0.84
5586,415,0.14
5586,417,21
5586,418,0
5586,430,5.3
5586,431,0
5586,601,0
5586,606,0.014
5586,607,0
5586,608,0
5586,609,0
5586,610,0
5586,611,0
5586,612,0
5586,613,0.01
5586,614,0.003
5586,617,0.016
5586,618,0.042
5586,619,0.001
5586,620,0
5586,621,0
5586,626,0
5586,627,0
5586,628,0
5586,629,0
5586,630,0
5586,631,0
5586,645,0.016
5586,646,0.042
5586,806,21
5586,814,78
5586,815,21
5586,817,0
5586,821,0
5586,831,0.001
5586,832,0
5586,834,210
5586,835,0
5586,836,9660
5586,837,80
5586,840,0
5586,852,0
5586,854,0
5586,855,0
5586,861,0
5586,862,7.2
5587,203,27.4
5587,204,12.41
5587,205,0
5587,207,0.7
5587,208,221
5587,210,0
5587,211,0
5587,212,0
5587,213,0
5587,214,0
5587,221,0
5587,255,59.5
5587,260,0
5587,261,0
5587,262,0
5587,263,0
5587,268,926
5587,269,0
5587,287,0
5587,291,0
5587,301,24
5587,303,1.46
5587,304,25
5587,305,197
5587,306,266
5587,307,996
5587,309,2.1
5587,312,0.056
5587,317,26
5587,319,0
5587,321,0
5587,323,0.17
5587,324,4
5587,339,0.1
5587,401,0
5587,404,0.05
5587,405,0.13
5587,406,5.73
5587,409,10.753
5587,415,0.42
5587,417,6
5587,418,0.34
5587,430,0
5587,431,0
5587,601,81
5587,606,3.383
5587,607,0
5587,608,0
5587,609,0
5587,610,0
5587,611,0.01
5587,612,0.09
5587,613,2.226
5587,614,0.738
5587,617,3.753
5587,618,2.485
5587,619,0.16
5587,620,0.16
5587,621,0.03
5587,626,0.788
5587,627,0
5587,628,0.01
5587,629,0
5587,630,0.01
5587,631,0.02
5587,645,4.651
5587,646,2.934
5587,802,0
5587,803,0
5587,806,6
5587,810,0
5587,814,0
5587,815,6
5587,827,0
5587,831,0.16
5587,832,0
5587,834,0
5587,835,0
5587,836,0
5587,837,0
5587,854,0
5587,855,0.16
5587,861,0
5587,862,68.7
5587,863,5.8
5589,203,0.64
5589,204,0.4
5589,205,10.68
5589,207,0.58
5589,208,49
5589,221,0
5589,255,87.63
5589,262,1
5589,263,50
5589,268,205
5589,269,8.68
5589,291,0.6
5589,301,100
5589,303,0.33
5589,304,11
5589,305,24
5589,306,79
5589,307,91
5589,309,0.16
5589,312,0.074
5589,315,0.073
5589,317,0.7
5589,319,60
5589,321,0
5589,323,0.01
5589,324,50
5589,339,1.3
5589,401,2
5589,404,0.01
5589,405,0.051
5589,406,0.106
5589,409,0.223
5589,410,0.082
5589,415,0.011
5589,417,1
5589,418,0.06
5589,430,0.1
5589,431,0
5589,601,0
5589,606,0.31
5589,607,0.005
5589,608,0.001
5589,609,0.001
5589,610,0.002
5589,611,0.001
5589,612,0.01
5589,613,0.143
5589,614,0.139
5589,617,0.048
5589,618,0.008
5589,619,0
5589,620,0
5589,621,0
5589,626,0.001
5589,627,0
5589,628,0
5589,629,0
5589,630,0
5589,631,0
5589,645,0.049
5589,646,0.009
5589,806,1
5589,814,60
5589,815,1
5589,831,0
5589,832,0
5589,834,0
5589,835,0
5589,836,0
5589,837,1
5589,854,0
5589,861,0
5589,862,3.3
